k_b_p3,k_b_p11,k_op_succ,k_pt_lldr,k_pt_gfp,k_f_lldrcomplex,k_d_lldrmRNA,k_d_lldr,k_d_lldrcomplex,k_d_gfpmRNA,k_d_gfp,alpaga_basal,alpaga_act1,alpaga_act2,alpaga_k3,alpaga_k_act1,alpaga_k_act2,copy_nr,mumax,tc,cap,sigma,scale,score
2.747677249129988120e+00,4.360667204297907773e+00,6.285490907367475621e+00,2.052849962213235013e+00,4.630774975502405799e-01,5.756002680194490573e+00,7.156031673069258581e+00,1.994181144190412480e+00,1.319655301714687923e+00,4.049733454148817802e-01,2.056364648411210250e-02,4.209191692167351562e+00,2.993797293968997408e+00,9.474200244177728436e+00,6.031142995658345285e+01,9.112211183811491821e+01,4.952040385256579924e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,4.089874557018960104e+02,1.763361998437782750e+06
8.690114624709170954e+00,9.550617084196087347e+00,5.859770427270192705e+00,9.553339457732384687e+00,1.896523628635304881e+00,4.858883609639286227e+00,1.600923687297295395e+00,8.249102368179793032e+00,3.366342086479687801e+00,2.254462851476832785e+00,1.375235776166426312e-03,7.036753587696471968e+00,8.712068445713817555e-01,3.964827672527396096e+00,1.241852904764266619e+01,5.348528199853793552e+01,7.662260530394704006e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,3.873479141261961445e+02,1.784507147947040619e+06
3.106753717358388567e+00,8.507114969559122386e+00,2.882333836571053798e+00,1.850255844512401548e+00,8.073248955746821665e+00,1.958813550226636391e+00,2.027058484342234124e+00,1.565615143344009974e+00,6.124908457203581236e+00,4.875555142877378845e-02,1.259470533912700196e-02,8.997417680316109667e+00,7.435427168734528358e+00,2.503336470604196506e+00,9.248950149355331973e+01,3.071397342332156200e+01,4.279946104400125684e+00,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,1.123166548418784849e+01,1.785581814306819579e+06
8.016675655132178946e+00,4.449297956653840203e+00,5.334523420771276392e+00,2.681650743886013211e-01,5.827898210281401425e+00,7.584569179007639939e+00,2.245717256287995234e+00,7.941904703376009955e+00,7.949179452975883464e+00,1.929736591761834319e+00,1.198357821611773129e-03,1.969046848001387184e+00,3.044615603826108519e+00,9.077057491545538426e+00,8.920192491871597440e+01,8.192267177466841588e+01,9.277538766459296937e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,1.455485165809866714e+02,1.792804120470977155e+06
1.380067902942607505e+00,8.602940856220959998e-02,9.764118416965088088e+00,7.880084811625758690e+00,8.821416061239617079e+00,5.516677046007951724e+00,1.286121265956967408e+00,7.092457019479611269e+00,1.941478800064492027e+00,8.627429543365292552e-01,5.418200538132570375e-03,1.898943791395002467e+00,7.572278519052012768e+00,7.351031462162950447e+00,6.439861359761454196e+01,6.329486179941040547e+01,5.283199259174173079e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,4.055607982977520720e+01,1.793423805887589930e+06
7.245087333399257368e+00,5.877619268398635022e+00,7.680972216725782786e+00,8.781733017306205369e+00,3.137295906425728309e-01,8.612701291677336002e+00,2.671118026905325404e+00,3.984150049201097499e+00,9.844215248537688367e+00,2.434607545091770076e-01,1.323310250456927835e-03,8.512899975487584925e+00,4.266142707181871607e+00,4.933740848563047621e+00,9.557781584042749046e+01,8.573293218215792422e+01,6.212249389715640291e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,5.196221864644359130e+02,1.793727592167318100e+06
6.387403665057115987e+00,8.966683348148016819e+00,9.149884300640563239e+00,4.459585638842009203e+00,1.154884334941145507e+00,7.485801305959657981e+00,5.676741913089556668e+00,8.015618963844833189e+00,9.000546715530392206e+00,2.738172681218178917e-01,2.317224906113814209e-02,5.463547475221865568e+00,1.323660421231838413e-01,4.605103220953508547e+00,2.110749745015117185e+01,9.629557691778332185e+01,7.294019716239510842e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,1.815550793272269061e+02,1.795075024261591025e+06
2.800178400974746129e+00,3.463208715225874368e+00,9.171778330791886091e+00,6.890655022353239012e+00,6.811301901798526570e-01,4.935863243021379354e+00,9.722658803299008667e+00,2.739732777551873610e+00,2.730197400660088647e+00,2.046394504886126509e-01,2.011719690313958087e-02,3.213704717191403937e+00,4.374542519900230353e+00,9.707303309220003840e+00,3.664073884159177652e+01,7.176278483843348965e+01,1.599641652045821516e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,2.183636296743012792e+02,1.795174013708287384e+06
2.861917951535084104e+00,6.768014370470696761e+00,8.401369362840544142e+00,1.112936625304215221e+00,5.481301245214289519e-01,8.694004061601080524e-01,1.661534482511592969e+00,5.912827201155583801e+00,1.248374191517884313e+00,6.128452746759720515e-01,1.204044753562421612e-02,3.965008986303252936e+00,5.048429252816965196e+00,2.501632143895500260e+00,7.390929442493437307e+01,5.881283800444331966e+00,8.542066803505726114e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,7.842215397883966261e+02,1.806776021996476222e+06
7.368407175211718396e+00,3.125876851004320667e+00,5.701846469343077928e+00,7.168631008198600441e-01,1.340969683132894330e+00,1.488441217045650022e+00,3.681765750466610587e+00,4.983592851008097568e+00,4.044726340711926049e+00,2.441245637469653118e-01,1.973531686306489227e-03,6.903367851464068394e+00,3.473109334801478543e-01,3.364517890423461832e+00,9.994842706360256557e+01,4.877528234752834635e+01,2.311131098562406905e+01,5.000000000000000000e+00,5.212434999999999707e-01,1.041064017999999969e+01,3.336869299999999927e-01,4.265375040000000340e+00,1.154204813965265402e+02,1.810808791533675278e+06
