k_b_p3,k_b_p11,k_op_succ,k_pt_lldr,k_pt_gfp,k_f_lldrcomplex,k_d_lldrmRNA,k_d_lldr,k_d_lldrcomplex,k_d_gfpmRNA,k_d_gfp,alpaga_basal,alpaga_act1,alpaga_act2,alpaga_k3,alpaga_k_act1,alpaga_k_act2,copy_nr,mumax,tc,cap,sigma,scale,score
3.060915283008429633e+00,4.372247404201231369e+00,9.791822885260289766e+00,4.424411097508535562e+00,9.816724099549418270e+00,6.976725740255264263e+00,1.897277071656075398e+00,4.392527616951890757e+00,7.765372488939283002e+00,2.357378789433107469e-01,7.825314100387547114e-03,9.022981648010057754e+00,6.214593999431607951e-01,4.926040951907242338e+00,4.141692459363761003e+01,6.755170451177561119e+01,8.843933311276185805e+01,5.169718574043025150e+00,5.184088540618779772e-01,1.076674290422819880e+01,3.356656928004383977e-01,4.119253750752678300e+00,1.206392711661405137e+01,1.237376866008250043e+06
7.325787977851188515e+00,8.837864012107107925e+00,9.725263330569767106e+00,9.201197899116783319e+00,1.498207818957590476e+00,7.157967269018471690e+00,2.660314339583502719e+00,7.176792799631554587e+00,4.067345283793968314e+00,9.721044721390207366e-01,3.132583088366468638e-03,3.799255691935793156e+00,6.199036071910101420e+00,7.494960538502644987e+00,6.301220563909367911e+01,5.692201615810414950e+01,3.786466822822165312e+01,4.523218538193508387e+00,4.691191499999999848e-01,1.145170419725828204e+01,3.654038805794751488e-01,4.691912544000000906e+00,3.124576099810485061e+02,1.246340877700787270e+06
5.037657894075346476e+00,6.969343236405562969e+00,4.817427846629837696e+00,8.172435073802686745e+00,7.906890529217329711e-01,1.214550268090140772e+00,5.484053842461774408e+00,7.518867323590126439e+00,4.722558101692190924e+00,1.518602445038238713e+00,1.578562571974172169e-03,6.836506066666197867e+00,1.397122156785700176e+00,6.158669145601556316e+00,7.639408708140318538e+01,8.028885802034679386e+01,2.420912666934365376e+01,4.831384997346935606e+00,4.720484917864861130e-01,1.082937050259716116e+01,3.482622634587061450e-01,4.062459137813770660e+00,6.956515214979381199e+02,1.246670314682002645e+06
8.946809711314511304e+00,6.991965342099031311e+00,6.116516046645340765e+00,8.200492630822733275e+00,3.173757218539913882e+00,4.604661735561646374e+00,5.034235391487043465e+00,7.915634364669446477e+00,2.969130764125969435e+00,4.270276598334959317e+00,2.039240082789906764e-03,2.098433993029689415e-01,8.298881287747018831e+00,5.684142194055828767e+00,3.797909263017921688e+01,1.257029062331648994e+01,3.571237893502078720e+01,5.500000000000000000e+00,4.691191499999999848e-01,1.145024762041048483e+01,3.373579297365441043e-01,4.540103823212302103e+00,7.839887420047735986e+02,1.256080711275081849e+06
8.001497062592212828e+00,3.596936444503926467e+00,9.824845838317825653e+00,8.190921820532894415e+00,1.586418941210406164e+00,5.363627998811726805e+00,1.183807653227663792e+00,8.920106372351867208e+00,8.579697699648264120e+00,1.395136609223258439e+00,6.394921488206431470e-03,8.018548134241900271e+00,1.592814952458776023e+00,4.478073090121788558e-01,7.429951289510695389e+00,1.052361312541837002e+01,1.983504298198767657e+01,4.846339036977954429e+00,4.691191576575179378e-01,1.074516079818504544e+01,3.124164081661223724e-01,4.120300077743529243e+00,4.690244995375778672e+02,1.259043358555556275e+06
9.968775392894626108e+00,2.725524732855240995e+00,6.123929541930759335e-01,2.591820334667117365e+00,2.925458598151091216e+00,8.714239634859177741e+00,4.488624263669157344e+00,9.310718998455470796e+00,3.730016527285152872e+00,1.569792296114342900e+00,1.940810709066656146e-03,5.045886079789924317e+00,1.188566441899382209e+00,7.400382650350007196e+00,2.733625832622619356e+01,4.625009248294839637e+01,7.572102030110272608e+00,4.848079283509725279e+00,4.691191499999999848e-01,1.065300050365228302e+01,3.039071721738151322e-01,4.146329385386368749e+00,2.096819937474880078e+02,1.260038547068352345e+06
6.120065117541749089e+00,7.804524014182286251e+00,8.460646377396908946e+00,3.363944490056402614e+00,6.750520851771374176e+00,5.887664183254472050e+00,2.653419126423124830e+00,8.302154502784933499e+00,6.301041420563427309e+00,6.783423263193517627e-01,1.238722794844304871e-02,6.758985004907127170e+00,2.286489736567733466e+00,8.790238667240597437e+00,3.606784015810797683e+01,4.813755213437940483e+01,2.471606271736947136e+01,5.078763351381792468e+00,4.815032420859840512e-01,1.065132787340068710e+01,3.140395345295647900e-01,4.099988534349378710e+00,3.570828624793198713e+01,1.260823747621268500e+06
9.872796564413195419e-01,9.049220061793084469e+00,7.460622304190104082e+00,4.352443505492637144e+00,4.725453200963001699e+00,4.702611302638658453e-01,7.777847642730711719e+00,6.500036958170677615e+00,1.637638676706925756e+00,8.319453946464044236e+00,2.501781963838832761e-03,8.160858134003104780e+00,2.713811360954513141e+00,6.181432189054652859e+00,7.057877424228740892e+01,7.417088119408318470e+00,7.636011932101905586e+01,5.491188545066962412e+00,5.179750863628593827e-01,1.145156695425205307e+01,3.333548727095601572e-01,3.839557374761673358e+00,4.272307853889470266e+02,1.276768465456944425e+06
8.771622199844713919e+00,8.358258800232457375e+00,7.837841256210575480e+00,9.935978465818433136e+00,5.053549295410709741e-01,5.315583990254236113e+00,8.339601108351777370e+00,2.058924689067276326e+00,6.581252299007171125e+00,1.568287847106405453e-01,2.355576935078246281e-02,5.029459055823382485e+00,2.792928390914332315e+00,7.237449303606005024e+00,8.066164439172858636e+00,4.037093740499898331e+01,2.041766102675061489e+01,4.925077643703220431e+00,4.691191499999999848e-01,1.054855479091952475e+01,3.036409950101117139e-01,4.189459516886882007e+00,2.861780649749030090e+02,1.276986121257254854e+06
8.312184293911290212e+00,1.343922494753276631e+00,4.914185532992154215e+00,4.365994224330902007e+00,5.898386695438222915e+00,3.421131407944035807e+00,9.492988686693390576e+00,1.153740182299720862e+00,6.080145611636495140e+00,4.886885335939811448e+00,2.043604477293426650e-03,5.098568677370670654e-01,3.098641114168388278e+00,7.351889215824400026e+00,3.428613037748506542e+01,6.645977964832195539e+01,8.719059201202027154e+00,4.697139153640295106e+00,4.691191499999999848e-01,1.118841859549212714e+01,3.133296052565403000e-01,4.247565779252400198e+00,7.100913888587390375e+02,1.278120321993888589e+06
